userID,songID,rating,comment,timestamp
2291,7594,2,A disappointing effort.,2024-01-01 00:01:00
11,2524,3,"It's okay, a little forgettable.",2024-01-01 00:02:00
3418,7743,1,Skip this one.,2024-01-01 00:03:00
1179,6835,2,Needs more originality.,2024-01-01 00:04:00
2818,4010,1,Could not finish it.,2024-01-01 00:05:00
1136,8079,1,Skip this one.,2024-01-01 00:06:00
1482,9521,4,"Almost perfect, minor critique on the mix.",2024-01-01 00:07:00
1057,7800,1,Really poor production quality.,2024-01-01 00:08:00
3003,9426,1,Really poor production quality.,2024-01-01 00:09:00
2383,959,2,Needs more originality.,2024-01-01 00:10:00
2840,2220,3,"Decent, nothing groundbreaking.",2024-01-01 00:11:00
1117,5918,4,"Almost perfect, minor critique on the mix.",2024-01-01 00:12:02
1459,799,3,"It's okay, a little forgettable.",2024-01-01 00:13:01
2618,1259,5,My new favorite song.,2024-01-01 00:14:02
2573,3003,1,Skip this one.,2024-01-01 00:15:02
685,8909,3,"It's okay, a little forgettable.",2024-01-01 00:16:02
3462,4933,3,"I liked the beat, but the lyrics were weak.",2024-01-01 00:17:02
2820,5940,1,Skip this one.,2024-01-01 00:18:02
1441,2355,1,Could not finish it.,2024-01-01 00:19:01
1153,6112,4,"Great vibe, strong chorus.",2024-01-01 00:20:01
668,1679,2,A disappointing effort.,2024-01-01 00:21:02
906,3088,5,Absolutely flawless!,2024-01-01 00:22:01
1887,1252,1,Could not finish it.,2024-01-01 00:23:04
72,7857,3,"It's okay, a little forgettable.",2024-01-01 00:24:03
1486,2278,4,"Almost perfect, minor critique on the mix.",2024-01-01 00:25:02
3128,5605,2,Two stars for trying.,2024-01-01 00:26:01
118,1944,2,A disappointing effort.,2024-01-01 00:27:04
2844,2333,2,Needs more originality.,2024-01-01 00:28:00
860,2134,1,Really poor production quality.,2024-01-01 00:29:04
3126,1831,1,Could not finish it.,2024-01-01 00:30:04
1984,7066,1,Could not finish it.,2024-01-01 00:31:00
135,8413,5,Absolutely flawless!,2024-01-01 00:32:03
488,4146,1,Could not finish it.,2024-01-01 00:33:01
2735,169,1,Could not finish it.,2024-01-01 00:34:06
2465,3366,5,My new favorite song.,2024-01-01 00:35:01
2747,5760,1,Could not finish it.,2024-01-01 00:36:01
3465,4545,5,"Instant classic, five stars!",2024-01-01 00:37:02
658,8203,5,My new favorite song.,2024-01-01 00:38:03
2336,1120,1,Skip this one.,2024-01-01 00:39:05
58,8665,2,Two stars for trying.,2024-01-01 00:40:01
1155,2815,5,Absolutely flawless!,2024-01-01 00:41:05
405,3507,5,The production is incredible.,2024-01-01 00:42:03
2860,9657,2,Needs more originality.,2024-01-01 00:43:05
440,2964,3,"It's okay, a little forgettable.",2024-01-01 00:44:03
878,8426,2,Needs more originality.,2024-01-01 00:45:01
3119,5150,1,Really poor production quality.,2024-01-01 00:46:01
2129,2227,4,"Great vibe, strong chorus.",2024-01-01 00:47:06
1181,9129,1,Could not finish it.,2024-01-01 00:48:03
2023,1896,4,"Great vibe, strong chorus.",2024-01-01 00:49:04
2460,5112,4,"Really solid track, highly recommended.",2024-01-01 00:50:05
1669,4762,4,"Really solid track, highly recommended.",2024-01-01 00:51:08
286,7794,3,"Decent, nothing groundbreaking.",2024-01-01 00:52:00
2762,8056,1,Really poor production quality.,2024-01-01 00:53:04
2141,1393,1,Could not finish it.,2024-01-01 00:54:04
1641,9676,1,Skip this one.,2024-01-01 00:55:09
692,1061,3,"Decent, nothing groundbreaking.",2024-01-01 00:56:03
821,9748,4,"Really solid track, highly recommended.",2024-01-01 00:57:02
3433,6959,4,"Great vibe, strong chorus.",2024-01-01 00:58:08
2923,9535,5,"Instant classic, five stars!",2024-01-01 00:59:08
3234,6558,3,"It's okay, a little forgettable.",2024-01-01 01:00:07
2471,6627,4,"Almost perfect, minor critique on the mix.",2024-01-01 01:01:03
604,7449,1,Could not finish it.,2024-01-01 01:02:03
2005,8148,2,Two stars for trying.,2024-01-01 01:03:01
122,1632,1,Could not finish it.,2024-01-01 01:04:06
2778,439,2,Needs more originality.,2024-01-01 01:05:07
2783,5357,2,Needs more originality.,2024-01-01 01:06:07
2553,1579,1,Skip this one.,2024-01-01 01:07:10
2130,8065,4,"Really solid track, highly recommended.",2024-01-01 01:08:04
2712,8158,4,"Almost perfect, minor critique on the mix.",2024-01-01 01:09:03
2222,5630,5,Absolutely flawless!,2024-01-01 01:10:10
130,7052,1,Really poor production quality.,2024-01-01 01:11:06
1289,6166,4,"Great vibe, strong chorus.",2024-01-01 01:12:00
135,2898,5,"Instant classic, five stars!",2024-01-01 01:13:12
2893,2690,4,"Great vibe, strong chorus.",2024-01-01 01:14:02
1280,6375,4,"Really solid track, highly recommended.",2024-01-01 01:15:08
2765,8038,5,The production is incredible.,2024-01-01 01:16:07
2303,2561,5,Absolutely flawless!,2024-01-01 01:17:06
1079,8106,5,The production is incredible.,2024-01-01 01:18:09
2771,5780,3,"It's okay, a little forgettable.",2024-01-01 01:19:00
116,9675,1,Could not finish it.,2024-01-01 01:20:12
1501,5716,5,Absolutely flawless!,2024-01-01 01:21:12
2561,5592,4,"Really solid track, highly recommended.",2024-01-01 01:22:06
1414,5856,4,"Great vibe, strong chorus.",2024-01-01 01:23:00
2709,4002,2,A disappointing effort.,2024-01-01 01:24:10
1279,9709,1,Skip this one.,2024-01-01 01:25:01
1249,1876,3,"Decent, nothing groundbreaking.",2024-01-01 01:26:00
2206,5344,1,Really poor production quality.,2024-01-01 01:27:11
1731,9307,5,The production is incredible.,2024-01-01 01:28:04
84,7696,5,Absolutely flawless!,2024-01-01 01:29:05
1548,9345,4,"Great vibe, strong chorus.",2024-01-01 01:30:10
401,8002,1,Skip this one.,2024-01-01 01:31:12
844,5505,4,"Almost perfect, minor critique on the mix.",2024-01-01 01:32:14
3134,5564,2,Two stars for trying.,2024-01-01 01:33:05
1489,7144,2,Needs more originality.,2024-01-01 01:34:11
3471,1235,5,My new favorite song.,2024-01-01 01:35:05
1087,779,3,"I liked the beat, but the lyrics were weak.",2024-01-01 01:36:07
3296,3701,5,Absolutely flawless!,2024-01-01 01:37:13
3458,9474,1,Skip this one.,2024-01-01 01:38:06
1120,1103,5,The production is incredible.,2024-01-01 01:39:08
860,5691,1,Skip this one.,2024-01-01 01:40:16
1237,8269,3,"It's okay, a little forgettable.",2024-01-01 01:41:13
2212,5134,2,Needs more originality.,2024-01-01 01:42:07
1030,8444,4,"Almost perfect, minor critique on the mix.",2024-01-01 01:43:15
2243,2959,1,Skip this one.,2024-01-01 01:44:14
2115,3057,5,The production is incredible.,2024-01-01 01:45:04
2707,7657,3,"I liked the beat, but the lyrics were weak.",2024-01-01 01:46:11
3314,7107,5,Absolutely flawless!,2024-01-01 01:47:10
822,5969,4,"Really solid track, highly recommended.",2024-01-01 01:48:05
617,4920,4,"Great vibe, strong chorus.",2024-01-01 01:49:07
3401,1056,2,Needs more originality.,2024-01-01 01:50:05
3374,4703,2,Needs more originality.,2024-01-01 01:51:14
2463,3869,4,"Really solid track, highly recommended.",2024-01-01 01:52:02
615,3145,1,Could not finish it.,2024-01-01 01:53:17
3389,5088,4,"Great vibe, strong chorus.",2024-01-01 01:54:12
1787,6915,1,Could not finish it.,2024-01-01 01:55:04
1118,2236,1,Really poor production quality.,2024-01-01 01:56:18
3292,4552,5,My new favorite song.,2024-01-01 01:57:14
3492,692,4,"Really solid track, highly recommended.",2024-01-01 01:58:01
344,5144,5,"Instant classic, five stars!",2024-01-01 01:59:19
261,6669,3,"I liked the beat, but the lyrics were weak.",2024-01-01 02:00:15
370,6503,2,A disappointing effort.,2024-01-01 02:01:02
2339,8197,1,Skip this one.,2024-01-01 02:02:16
3396,9510,5,"Instant classic, five stars!",2024-01-01 02:03:11
370,3901,5,Absolutely flawless!,2024-01-01 02:04:18
3305,5135,3,"I liked the beat, but the lyrics were weak.",2024-01-01 02:05:18
1598,3866,4,"Really solid track, highly recommended.",2024-01-01 02:06:03
438,2870,2,Needs more originality.,2024-01-01 02:07:11
1673,4167,5,Absolutely flawless!,2024-01-01 02:08:12
2186,6140,1,Really poor production quality.,2024-01-01 02:09:13
1736,7781,2,Needs more originality.,2024-01-01 02:10:22
3213,2375,3,"It's okay, a little forgettable.",2024-01-01 02:11:18
1507,5050,1,Skip this one.,2024-01-01 02:12:22
2482,571,1,Skip this one.,2024-01-01 02:13:23
3231,3927,3,"I liked the beat, but the lyrics were weak.",2024-01-01 02:14:10
1267,5946,1,Skip this one.,2024-01-01 02:15:22
969,7249,4,"Really solid track, highly recommended.",2024-01-01 02:16:24
1610,4187,3,"Decent, nothing groundbreaking.",2024-01-01 02:17:24
3370,3858,3,"Decent, nothing groundbreaking.",2024-01-01 02:18:23
657,7191,3,"I liked the beat, but the lyrics were weak.",2024-01-01 02:19:11
3234,556,3,"Decent, nothing groundbreaking.",2024-01-01 02:20:22
3193,8056,4,"Almost perfect, minor critique on the mix.",2024-01-01 02:21:11
3446,5452,4,"Really solid track, highly recommended.",2024-01-01 02:22:23
657,4276,5,Absolutely flawless!,2024-01-01 02:23:10
1724,9866,5,"Instant classic, five stars!",2024-01-01 02:24:12
2848,449,1,Skip this one.,2024-01-01 02:25:18
753,7265,2,A disappointing effort.,2024-01-01 02:26:11
820,5007,3,"I liked the beat, but the lyrics were weak.",2024-01-01 02:27:02
454,2586,2,Two stars for trying.,2024-01-01 02:28:20
3145,2132,5,The production is incredible.,2024-01-01 02:29:23
1309,7398,4,"Almost perfect, minor critique on the mix.",2024-01-01 02:30:04
1068,2843,5,"Instant classic, five stars!",2024-01-01 02:31:23
1155,3255,1,Really poor production quality.,2024-01-01 02:32:10
746,6448,4,"Almost perfect, minor critique on the mix.",2024-01-01 02:33:07
85,377,5,My new favorite song.,2024-01-01 02:34:27
365,7577,2,Needs more originality.,2024-01-01 02:35:21
3490,2765,1,Really poor production quality.,2024-01-01 02:36:18
1757,9837,3,"Decent, nothing groundbreaking.",2024-01-01 02:37:02
1508,2788,5,Absolutely flawless!,2024-01-01 02:38:00
2944,8616,4,"Great vibe, strong chorus.",2024-01-01 02:39:25
2760,8097,1,Could not finish it.,2024-01-01 02:40:22
833,3122,3,"It's okay, a little forgettable.",2024-01-01 02:41:23
2025,6260,2,Needs more originality.,2024-01-01 02:42:27
847,9832,2,Needs more originality.,2024-01-01 02:43:23
2774,3103,4,"Really solid track, highly recommended.",2024-01-01 02:44:13
3246,2392,1,Really poor production quality.,2024-01-01 02:45:08
965,7389,2,Needs more originality.,2024-01-01 02:46:18
2803,7507,1,Could not finish it.,2024-01-01 02:47:16
546,5297,4,"Almost perfect, minor critique on the mix.",2024-01-01 02:48:07
2922,6284,4,"Almost perfect, minor critique on the mix.",2024-01-01 02:49:20
1050,1197,1,Skip this one.,2024-01-01 02:50:02
214,5454,2,Needs more originality.,2024-01-01 02:51:30
1452,9935,5,Absolutely flawless!,2024-01-01 02:52:01
1039,8267,5,The production is incredible.,2024-01-01 02:53:10
1617,6077,2,Two stars for trying.,2024-01-01 02:54:02
2378,2939,3,"Decent, nothing groundbreaking.",2024-01-01 02:55:17
2019,5558,4,"Really solid track, highly recommended.",2024-01-01 02:56:03
1300,8691,4,"Really solid track, highly recommended.",2024-01-01 02:57:09
479,5133,1,Could not finish it.,2024-01-01 02:58:17
3420,4604,3,"It's okay, a little forgettable.",2024-01-01 02:59:10
1079,4322,5,"Instant classic, five stars!",2024-01-01 03:00:15
676,5170,4,"Really solid track, highly recommended.",2024-01-01 03:01:19
3495,7209,1,Could not finish it.,2024-01-01 03:02:05
224,3767,2,A disappointing effort.,2024-01-01 03:03:17
1066,2680,4,"Great vibe, strong chorus.",2024-01-01 03:04:04
2028,669,4,"Great vibe, strong chorus.",2024-01-01 03:05:25
2298,7950,4,"Great vibe, strong chorus.",2024-01-01 03:06:04
3465,2426,1,Really poor production quality.,2024-01-01 03:07:03
835,4655,2,A disappointing effort.,2024-01-01 03:08:27
2084,4470,5,My new favorite song.,2024-01-01 03:09:21
17,8619,5,My new favorite song.,2024-01-01 03:10:15
315,4034,4,"Almost perfect, minor critique on the mix.",2024-01-01 03:11:04
1347,426,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:12:25
500,6459,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:13:34
435,5301,2,A disappointing effort.,2024-01-01 03:14:03
1886,7862,4,"Almost perfect, minor critique on the mix.",2024-01-01 03:15:10
2434,96,3,"Decent, nothing groundbreaking.",2024-01-01 03:16:24
2550,7424,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:17:28
3265,9326,2,A disappointing effort.,2024-01-01 03:18:33
200,4636,3,"Decent, nothing groundbreaking.",2024-01-01 03:19:28
290,8965,5,The production is incredible.,2024-01-01 03:20:03
1634,4181,2,A disappointing effort.,2024-01-01 03:21:30
1634,1462,1,Could not finish it.,2024-01-01 03:22:07
1592,6593,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:23:30
2680,2526,1,Really poor production quality.,2024-01-01 03:24:19
3282,7084,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:25:24
538,5883,1,Really poor production quality.,2024-01-01 03:26:21
819,8022,4,"Great vibe, strong chorus.",2024-01-01 03:27:19
1100,9226,5,The production is incredible.,2024-01-01 03:28:03
3099,6923,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:29:07
1779,6980,1,Could not finish it.,2024-01-01 03:30:21
1400,7595,2,Two stars for trying.,2024-01-01 03:31:27
2924,2541,4,"Almost perfect, minor critique on the mix.",2024-01-01 03:32:26
2652,8597,1,Really poor production quality.,2024-01-01 03:33:19
1792,1298,4,"Great vibe, strong chorus.",2024-01-01 03:34:06
524,4922,2,Two stars for trying.,2024-01-01 03:35:18
1211,9315,1,Skip this one.,2024-01-01 03:36:03
185,8412,1,Skip this one.,2024-01-01 03:37:18
1692,1549,4,"Almost perfect, minor critique on the mix.",2024-01-01 03:38:31
2329,4152,3,"It's okay, a little forgettable.",2024-01-01 03:39:24
335,8249,1,Could not finish it.,2024-01-01 03:40:31
2710,7584,2,A disappointing effort.,2024-01-01 03:41:35
1610,742,1,Really poor production quality.,2024-01-01 03:42:38
2886,4877,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:43:32
1864,7372,5,"Instant classic, five stars!",2024-01-01 03:44:14
3318,3067,2,A disappointing effort.,2024-01-01 03:45:04
3060,9897,3,"I liked the beat, but the lyrics were weak.",2024-01-01 03:46:05
1777,8756,1,Could not finish it.,2024-01-01 03:47:17
478,218,2,Two stars for trying.,2024-01-01 03:48:21
1885,6638,5,The production is incredible.,2024-01-01 03:49:13
2534,5911,4,"Great vibe, strong chorus.",2024-01-01 03:50:04
513,2214,1,Could not finish it.,2024-01-01 03:51:05
3343,261,2,A disappointing effort.,2024-01-01 03:52:09
1971,2379,2,Needs more originality.,2024-01-01 03:53:37
2565,8825,2,A disappointing effort.,2024-01-01 03:54:14
3153,7593,2,Needs more originality.,2024-01-01 03:55:19
90,1909,2,A disappointing effort.,2024-01-01 03:56:33
2878,7296,4,"Great vibe, strong chorus.",2024-01-01 03:57:01
1842,9589,2,A disappointing effort.,2024-01-01 03:58:14
2333,6419,1,Really poor production quality.,2024-01-01 03:59:01
421,7075,4,"Great vibe, strong chorus.",2024-01-01 04:00:34
2371,9763,5,"Instant classic, five stars!",2024-01-01 04:01:02
1997,6549,4,"Almost perfect, minor critique on the mix.",2024-01-01 04:02:27
2969,7994,2,Two stars for trying.,2024-01-01 04:03:02
2164,312,4,"Almost perfect, minor critique on the mix.",2024-01-01 04:04:16
2267,1041,3,"I liked the beat, but the lyrics were weak.",2024-01-01 04:05:20
1939,1916,4,"Almost perfect, minor critique on the mix.",2024-01-01 04:06:30
1421,7346,4,"Really solid track, highly recommended.",2024-01-01 04:07:08
1180,3150,4,"Great vibe, strong chorus.",2024-01-01 04:08:22
951,8318,2,Two stars for trying.,2024-01-01 04:09:44
2806,5557,5,The production is incredible.,2024-01-01 04:10:07
1202,6396,4,"Almost perfect, minor critique on the mix.",2024-01-01 04:11:31
3009,5903,4,"Really solid track, highly recommended.",2024-01-01 04:12:30
849,4628,1,Skip this one.,2024-01-01 04:13:24
529,2840,2,A disappointing effort.,2024-01-01 04:14:30
2016,1654,4,"Great vibe, strong chorus.",2024-01-01 04:15:15
962,3432,5,Absolutely flawless!,2024-01-01 04:16:01
1470,4274,3,"I liked the beat, but the lyrics were weak.",2024-01-01 04:17:09
716,8249,1,Could not finish it.,2024-01-01 04:18:17
1764,1868,5,My new favorite song.,2024-01-01 04:19:06
2302,3672,4,"Great vibe, strong chorus.",2024-01-01 04:20:17
3215,5821,1,Skip this one.,2024-01-01 04:21:14
620,8445,5,Absolutely flawless!,2024-01-01 04:22:36
207,7174,4,"Really solid track, highly recommended.",2024-01-01 04:23:06
3202,9989,1,Skip this one.,2024-01-01 04:24:03
2078,1728,2,Two stars for trying.,2024-01-01 04:25:06
842,5926,2,Two stars for trying.,2024-01-01 04:26:15
2901,7234,5,The production is incredible.,2024-01-01 04:27:38
407,2528,3,"It's okay, a little forgettable.",2024-01-01 04:28:43
565,2015,2,Needs more originality.,2024-01-01 04:29:22
3151,108,2,Needs more originality.,2024-01-01 04:30:17
1175,8275,2,A disappointing effort.,2024-01-01 04:31:14
1526,6800,3,"I liked the beat, but the lyrics were weak.",2024-01-01 04:32:35
1006,2484,5,The production is incredible.,2024-01-01 04:33:42
935,2261,4,"Great vibe, strong chorus.",2024-01-01 04:34:49
1677,7517,5,"Instant classic, five stars!",2024-01-01 04:35:01
1813,2386,1,Skip this one.,2024-01-01 04:36:43
2120,1141,1,Really poor production quality.,2024-01-01 04:37:18
1646,2693,4,"Really solid track, highly recommended.",2024-01-01 04:38:21
3110,608,2,Two stars for trying.,2024-01-01 04:39:03
2588,8517,3,"It's okay, a little forgettable.",2024-01-01 04:40:21
2789,9071,3,"I liked the beat, but the lyrics were weak.",2024-01-01 04:41:40
1285,5639,1,Really poor production quality.,2024-01-01 04:42:49
2162,2407,4,"Great vibe, strong chorus.",2024-01-01 04:43:35
841,8920,5,The production is incredible.,2024-01-01 04:44:39
1415,6628,2,Needs more originality.,2024-01-01 04:45:05
152,8806,3,"It's okay, a little forgettable.",2024-01-01 04:46:41
2945,2065,5,"Instant classic, five stars!",2024-01-01 04:47:12
381,8384,5,"Instant classic, five stars!",2024-01-01 04:48:29
1396,2622,1,Could not finish it.,2024-01-01 04:49:50
3263,8847,5,"Instant classic, five stars!",2024-01-01 04:50:13
3409,4980,4,"Almost perfect, minor critique on the mix.",2024-01-01 04:51:06
2999,983,3,"It's okay, a little forgettable.",2024-01-01 04:52:36
2079,5808,1,Could not finish it.,2024-01-01 04:53:43
2667,2044,4,"Great vibe, strong chorus.",2024-01-01 04:54:33
3019,86,4,"Great vibe, strong chorus.",2024-01-01 04:55:14
3299,9529,5,My new favorite song.,2024-01-01 04:56:21
1226,4662,5,My new favorite song.,2024-01-01 04:57:40
1547,8515,2,A disappointing effort.,2024-01-01 04:58:19
2116,9542,2,Needs more originality.,2024-01-01 04:59:26
402,2402,4,"Great vibe, strong chorus.",2024-01-01 05:00:05
378,1019,4,"Really solid track, highly recommended.",2024-01-01 05:01:28
880,7310,1,Really poor production quality.,2024-01-01 05:02:39
2156,6599,5,The production is incredible.,2024-01-01 05:03:50
1081,9574,4,"Almost perfect, minor critique on the mix.",2024-01-01 05:04:25
1803,8021,4,"Really solid track, highly recommended.",2024-01-01 05:05:09
2072,2083,4,"Almost perfect, minor critique on the mix.",2024-01-01 05:06:27
530,8409,5,Absolutely flawless!,2024-01-01 05:07:42
871,7462,4,"Really solid track, highly recommended.",2024-01-01 05:08:44
643,9160,3,"Decent, nothing groundbreaking.",2024-01-01 05:09:37
3492,6695,1,Could not finish it.,2024-01-01 05:10:22
2342,4745,1,Skip this one.,2024-01-01 05:11:09
483,6087,3,"It's okay, a little forgettable.",2024-01-01 05:12:18
1205,7962,1,Could not finish it.,2024-01-01 05:13:09
3211,9661,4,"Really solid track, highly recommended.",2024-01-01 05:14:56
1250,4645,2,A disappointing effort.,2024-01-01 05:15:51
3030,8009,1,Could not finish it.,2024-01-01 05:16:34
1429,1107,1,Really poor production quality.,2024-01-01 05:17:30
2348,5075,5,The production is incredible.,2024-01-01 05:18:55
1384,6182,4,"Almost perfect, minor critique on the mix.",2024-01-01 05:19:51
2481,2176,2,Two stars for trying.,2024-01-01 05:20:40
1888,7372,4,"Really solid track, highly recommended.",2024-01-01 05:21:53
2982,5329,1,Skip this one.,2024-01-01 05:22:42
2555,6712,4,"Really solid track, highly recommended.",2024-01-01 05:23:56
1620,5555,5,Absolutely flawless!,2024-01-01 05:24:42
1815,4545,1,Could not finish it.,2024-01-01 05:25:44
102,9372,3,"I liked the beat, but the lyrics were weak.",2024-01-01 05:26:41
508,9165,1,Could not finish it.,2024-01-01 05:27:39
2220,9452,1,Skip this one.,2024-01-01 05:28:33
776,7797,5,Absolutely flawless!,2024-01-01 05:29:07
2697,8714,2,A disappointing effort.,2024-01-01 05:30:17
3223,3372,2,Two stars for trying.,2024-01-01 05:31:53
2374,7279,1,Skip this one.,2024-01-01 05:32:39
1313,6584,5,Absolutely flawless!,2024-01-01 05:33:31
96,5570,4,"Really solid track, highly recommended.",2024-01-01 05:34:28
99,8650,3,"It's okay, a little forgettable.",2024-01-01 05:35:18
373,1879,1,Skip this one.,2024-01-01 05:36:12
1169,2360,2,Needs more originality.,2024-01-01 05:37:50
368,2527,3,"It's okay, a little forgettable.",2024-01-01 05:38:44
694,966,5,"Instant classic, five stars!",2024-01-01 05:39:12
112,959,3,"It's okay, a little forgettable.",2024-01-01 05:40:08
1311,2335,4,"Great vibe, strong chorus.",2024-01-01 05:41:18
1539,1982,1,Could not finish it.,2024-01-01 05:42:16
3081,9782,5,My new favorite song.,2024-01-01 05:43:32
2084,8265,4,"Really solid track, highly recommended.",2024-01-01 05:44:18
249,5216,4,"Almost perfect, minor critique on the mix.",2024-01-01 05:45:28
269,7933,1,Really poor production quality.,2024-01-01 05:46:43
958,306,3,"I liked the beat, but the lyrics were weak.",2024-01-01 05:47:39
2766,1664,2,Two stars for trying.,2024-01-01 05:48:43
3217,2058,3,"I liked the beat, but the lyrics were weak.",2024-01-01 05:49:29
1827,1375,5,My new favorite song.,2024-01-01 05:50:54
584,6117,5,My new favorite song.,2024-01-01 05:51:54
1005,8807,4,"Almost perfect, minor critique on the mix.",2024-01-01 05:52:31
172,17,4,"Almost perfect, minor critique on the mix.",2024-01-01 05:53:21
2675,2743,1,Could not finish it.,2024-01-01 05:55:03
1976,4478,5,"Instant classic, five stars!",2024-01-01 05:55:57
2786,6229,3,"I liked the beat, but the lyrics were weak.",2024-01-01 05:56:14
2397,8362,3,"Decent, nothing groundbreaking.",2024-01-01 05:57:12
3028,8751,5,Absolutely flawless!,2024-01-01 05:58:21
368,6477,1,Could not finish it.,2024-01-01 05:59:51
2280,4579,4,"Really solid track, highly recommended.",2024-01-01 06:00:43
2068,5216,3,"I liked the beat, but the lyrics were weak.",2024-01-01 06:01:19
3084,7418,3,"Decent, nothing groundbreaking.",2024-01-01 06:02:47
1318,5598,2,Needs more originality.,2024-01-01 06:03:43
1346,261,2,Two stars for trying.,2024-01-01 06:05:05
9,9975,4,"Really solid track, highly recommended.",2024-01-01 06:06:03
40,2844,4,"Almost perfect, minor critique on the mix.",2024-01-01 06:07:03
2853,8012,4,"Almost perfect, minor critique on the mix.",2024-01-01 06:07:06
3225,1271,5,Absolutely flawless!,2024-01-01 06:09:04
3409,7294,1,Really poor production quality.,2024-01-01 06:09:59
1542,9852,3,"It's okay, a little forgettable.",2024-01-01 06:10:13
3438,139,1,Really poor production quality.,2024-01-01 06:11:26
791,7284,1,Could not finish it.,2024-01-01 06:12:53
82,4607,3,"Decent, nothing groundbreaking.",2024-01-01 06:13:06
3344,4968,2,A disappointing effort.,2024-01-01 06:14:35
1487,603,3,"It's okay, a little forgettable.",2024-01-01 06:16:05
2884,9930,2,A disappointing effort.,2024-01-01 06:16:15
3364,6490,1,Really poor production quality.,2024-01-01 06:17:42
2050,8094,2,Two stars for trying.,2024-01-01 06:18:15
2703,9269,5,My new favorite song.,2024-01-01 06:19:06
2410,2102,1,Could not finish it.,2024-01-01 06:20:20
2335,3735,5,"Instant classic, five stars!",2024-01-01 06:21:16
3473,379,5,"Instant classic, five stars!",2024-01-01 06:22:50
2295,7438,1,Really poor production quality.,2024-01-01 06:23:48
2758,850,3,"It's okay, a little forgettable.",2024-01-01 06:25:04
1667,4490,1,Skip this one.,2024-01-01 06:25:39
1912,8120,3,"I liked the beat, but the lyrics were weak.",2024-01-01 06:26:57
179,3679,1,Really poor production quality.,2024-01-01 06:28:09
1721,8724,4,"Great vibe, strong chorus.",2024-01-01 06:28:02
