name,albumID,trackNumber,releaseDate,spotifyURL
Fader,1,6,2009,spotify:track:0vNPJrUrBnMFdCs8b2MTNG
Sherry,2,1,2003-01-14,spotify:track:0NpvdCO506uO58D4AbKzki
I Took A Pill In Ibiza - Seeb Remix,3,13,2016-05-06,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P
Let Go for Tonight,4,5,2014-05-12,spotify:track:59lq75uFIqzUZcgZ4CbqFG
The Way I Want To Touch You,5,3,1975-01-01,spotify:track:7KdcZQ3GJeGdserhK61kfv
Still Got Time (feat. PARTYNEXTDOOR),6,1,2017-03-23,spotify:track:000xQL6tZNLJzIrtIgxqSl
Your Song,7,5,2018-11-23,spotify:track:46xkXPGjR9Ig9BcaTUNus3
Fix You,8,4,2005-06-07,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q
There You'll Be - 2007 Remaster,9,7,2007,spotify:track:1s2khOWzC99udpUaPICLJI
Every Breath You Take - Remastered 2003,10,7,1983-06-01,spotify:track:2sXp9Qmvc7mRaDBjBgcGGi
You're the Inspiration - 2009 Remaster,11,7,1984-05-14,spotify:track:6d7PQZtTbHbcYqaygOW7vs
"The Key, The Secret",12,1,2004,spotify:track:0Lg4ckCFjFUeyHOeSozcWS
Paradise City,3317,6,1987-07-21,spotify:track:5Q41NLTmGbVPozwHKK7bk2
Tonight I'm Yours (Don't Hurt Me),14,1,1981,spotify:track:5sgVguJJlA7thC8ybAFOo5
You Were On My Mind,15,1,2011-03-01,spotify:track:43wMcgNk8o3Qx7jxg3Lkfo
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],16,1,2013-04-19,spotify:track:2Foc5Q5nqNiosCNqttzHof
Party,17,7,1995,spotify:track:6LZOgBvntXL1egqIHHPnhn
Riptide,5538,4,2014-09-05,spotify:track:5ma71INSTL8sY1HzjVBj2g
Heartaches By The Number,19,1,2009-10-19,spotify:track:2SBQBV1atDy4tbEfGicT7u
The Edge of Heaven,20,1,1986-07-01,spotify:track:5AhRNIjYPBleR1lfHphcrE
Should’ve Been Us,3916,5,2015-06-23,spotify:track:2RiJYFyzmE4a5xYV7n7sgI
Clap Your Hands,22,1,2022-02-18,spotify:track:7g7OshelYRRnOSEMmisJVI
Good Clean Fun,23,2,1969-10-01,spotify:track:1t4I9xuq9Mgdq4SR5hV8p5
Teach Me How to Fly,24,32,2016-11-04,spotify:track:6ER7Wg69KVV8Vrb1Bln3Cr
Together We Are One - Radio Mix,25,1,2006-04-01,spotify:track:7zCaXeBaRwCSQ9JJvop7OL
No Secrets,26,10,2011-10-28,spotify:track:656xZ2pwfA1J59EMussJOK
All For You,27,3,1997-01-01,spotify:track:2skmOCFU64Bg7Ytkgwliwe
Special,28,9,2012-07-23,spotify:track:7nQqn8ZyaQdlBQPZ6KbT24
Saturday Sun,29,4,2018-02-23,spotify:track:5qnqVH96GFq3Qo71lEkFT5
Montego Bay,30,11,1970-01-01,spotify:track:6TBUBqz21JmF2hkeRbnwme
Your Power,31,1,2021-04-29,spotify:track:5qNh5WtzMbfpSj2jLlBkoD
Talk of the Town,32,6,2003-10-20,spotify:track:3u5vKV8Jr3XON1QWz1lUbP
Starboy,876,1,2016-11-25,spotify:track:7MXVkk9YMctZqd1Srtv4MB
Anthem for the Year 2000,34,2,1999-03-08,spotify:track:3J19l4hOfwFFIF715BwVcG
Foreplay / Long Time,6343,3,1976,spotify:track:39C5FuZ8C8M0QI8CrMsPkR
New Romantics,3322,16,2014-10-27,spotify:track:3KhIpPRbkjr3p1eJkD51dj
She - Original Stereo Version; 2006 Remaster,37,1,1967-01-09,spotify:track:2l1GIxmkts2O0qYrlwGwF0
I'm Good?,38,1,2020-05-01,spotify:track:1EuI95kVxZYLbENy8d6AOI
The Chain - 2004 Remaster,148,7,1977-02-04,spotify:track:7Dm3dV3WPNdTgxoNY7YFnc
Shoop,624,7,1993-10-12,spotify:track:0Pu71wxadDlB8fJXfjIjeJ
Trouble,41,1,2003-10-08,spotify:track:5PLC7cNlxWIMAZvXrtqsZm
You Got Me,42,1,2014-07-28,spotify:track:4stNldZRtgwvHvb34INX5y
I Am the Beat,43,7,1981,spotify:track:5LenBcq9xeHLC00Gn7AyYv
Well Hello,44,12,2016-06-10,spotify:track:0K1ddNp1ev0zdik1EzuxkT
Twistin' Matilda (And the Channel),45,3,2013-12-02,spotify:track:1A4a167Yf7bXEkVOqon1HK
Nothing Can Divide Us,46,1,2007-02-06,spotify:track:34sAPj9hCZr4f814I3MWEy
Its Only the Beginning,47,2,1991,spotify:track:1HXaX12pA7jVuwUczy5UOd
S.O.S.,48,1,2007-01-01,spotify:track:2gGxroCYEruO4Bco35RnGU
Lil Boo Thang,49,1,2023-08-18,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3
Piece by Piece,206,5,2015-02-27,spotify:track:2NELtMgQ8HSdrGrYQPLnC3
Glamorous,1960,7,2006-09-13,spotify:track:6vVfNqiMSku4FrqsqhurBK
Free Your Mind,52,4,1992-03-24,spotify:track:2vG1yrWSMiL6egg6w4e9ma
Untouchable (Originally Performed by Taylor Swift) [Vocal Version],53,1,2014-07-21,spotify:track:6ZQIKSFLoonDStQchogVdC
From The Sea,54,1,2004,spotify:track:74Hy0E0huf9VS853otOC0m
Dance To This (feat. Ariana Grande),6946,6,2018-08-31,spotify:track:2NjO87HyT80fsgejd3PLYW
Into The Dark,56,7,2005-02-22,spotify:track:1ESxXEaYZ3CvkVqBdSHZiS
Happenin' All Over Again - Radio,57,5,2006-11-14,spotify:track:1Xhz8EjC4GChCe46aR0MFy
You've Never Been This Far Before,58,15,2005-04-21,spotify:track:6UqKslmiLujULn7mpfbpaC
Superstylin',59,2,2001-07-11,spotify:track:2yWyFT6bW1Rd9cjVvYi4v8
Halfway Gone,60,4,2010-01-01,spotify:track:7rojor07Wzc7w3zXOxex80
Too Much (feat. Usher),61,1,2020-10-23,spotify:track:39umHdGKfpnjY4TFtnoQ51
Polaroid,62,1,2020-04-24,spotify:track:3g2zKo9K0MymRmkn6fXWcr
Walk Right In,63,7,1992-01-01,spotify:track:0iyFZC2XuPdLpfQpUeli4H
Two Strong Hearts,32,2,2003-10-20,spotify:track:4rRRVHoBP8v42QdOivhhfj
Work from Home (feat. Ty Dolla $ign),64,2,2016-05-27,spotify:track:4tCtwWceOPWzenK2HAIJSb
