songID,name,albumID,trackNumber,releaseDate,spotifyURL
0,Fader,0,6,2009-01-01,spotify:track:0vNPJrUrBnMFdCs8b2MTNG
1,Sherry,1,1,2003-01-14,spotify:track:0NpvdCO506uO58D4AbKzki
2,I Took A Pill In Ibiza - Seeb Remix,2,13,2016-05-06,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P
3,Let Go for Tonight,3,5,2014-05-12,spotify:track:59lq75uFIqzUZcgZ4CbqFG
4,The Way I Want To Touch You,4,3,1975-01-01,spotify:track:7KdcZQ3GJeGdserhK61kfv
5,Still Got Time (feat. PARTYNEXTDOOR),5,1,2017-03-23,spotify:track:000xQL6tZNLJzIrtIgxqSl
6,Your Song,6,5,2018-11-23,spotify:track:46xkXPGjR9Ig9BcaTUNus3
7,Fix You,7,4,2005-06-07,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q
8,There You'll Be - 2007 Remaster,8,7,2007-01-01,spotify:track:1s2khOWzC99udpUaPICLJI
9,Every Breath You Take - Remastered 2003,9,7,1983-06-01,spotify:track:2sXp9Qmvc7mRaDBjBgcGGi
10,You're the Inspiration - 2009 Remaster,10,7,1984-05-14,spotify:track:6d7PQZtTbHbcYqaygOW7vs
11,"The Key, The Secret",11,1,2004-01-01,spotify:track:0Lg4ckCFjFUeyHOeSozcWS
12,Paradise City,3316,6,1987-07-21,spotify:track:5Q41NLTmGbVPozwHKK7bk2
13,Tonight I'm Yours (Don't Hurt Me),13,1,1981-01-01,spotify:track:5sgVguJJlA7thC8ybAFOo5
14,You Were On My Mind,14,1,2011-03-01,spotify:track:43wMcgNk8o3Qx7jxg3Lkfo
15,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],15,1,2013-04-19,spotify:track:2Foc5Q5nqNiosCNqttzHof
16,Party,16,7,1995-01-01,spotify:track:6LZOgBvntXL1egqIHHPnhn
17,Riptide,5537,4,2014-09-05,spotify:track:5ma71INSTL8sY1HzjVBj2g
18,Heartaches By The Number,18,1,2009-10-19,spotify:track:2SBQBV1atDy4tbEfGicT7u
19,The Edge of Heaven,19,1,1986-07-01,spotify:track:5AhRNIjYPBleR1lfHphcrE
20,Should’ve Been Us,3915,5,2015-06-23,spotify:track:2RiJYFyzmE4a5xYV7n7sgI
21,Clap Your Hands,21,1,2022-02-18,spotify:track:7g7OshelYRRnOSEMmisJVI
22,Good Clean Fun,22,2,1969-10-01,spotify:track:1t4I9xuq9Mgdq4SR5hV8p5
23,Teach Me How to Fly,23,32,2016-11-04,spotify:track:6ER7Wg69KVV8Vrb1Bln3Cr
24,Together We Are One - Radio Mix,24,1,2006-04-01,spotify:track:7zCaXeBaRwCSQ9JJvop7OL
25,No Secrets,25,10,2011-10-28,spotify:track:656xZ2pwfA1J59EMussJOK
26,All For You,26,3,1997-01-01,spotify:track:2skmOCFU64Bg7Ytkgwliwe
27,Special,27,9,2012-07-23,spotify:track:7nQqn8ZyaQdlBQPZ6KbT24
28,Saturday Sun,28,4,2018-02-23,spotify:track:5qnqVH96GFq3Qo71lEkFT5
29,Montego Bay,29,11,1970-01-01,spotify:track:6TBUBqz21JmF2hkeRbnwme
30,Your Power,30,1,2021-04-29,spotify:track:5qNh5WtzMbfpSj2jLlBkoD
31,Talk of the Town,31,6,2003-10-20,spotify:track:3u5vKV8Jr3XON1QWz1lUbP
32,Starboy,875,1,2016-11-25,spotify:track:7MXVkk9YMctZqd1Srtv4MB
33,Anthem for the Year 2000,33,2,1999-03-08,spotify:track:3J19l4hOfwFFIF715BwVcG
34,Foreplay / Long Time,6342,3,1976-01-01,spotify:track:39C5FuZ8C8M0QI8CrMsPkR
35,New Romantics,3321,16,2014-10-27,spotify:track:3KhIpPRbkjr3p1eJkD51dj
36,She - Original Stereo Version; 2006 Remaster,36,1,1967-01-09,spotify:track:2l1GIxmkts2O0qYrlwGwF0
37,I'm Good?,37,1,2020-05-01,spotify:track:1EuI95kVxZYLbENy8d6AOI
38,The Chain - 2004 Remaster,147,7,1977-02-04,spotify:track:7Dm3dV3WPNdTgxoNY7YFnc
39,Shoop,623,7,1993-10-12,spotify:track:0Pu71wxadDlB8fJXfjIjeJ
40,Trouble,40,1,2003-10-08,spotify:track:5PLC7cNlxWIMAZvXrtqsZm
41,You Got Me,41,1,2014-07-28,spotify:track:4stNldZRtgwvHvb34INX5y
42,I Am the Beat,42,7,1981-01-01,spotify:track:5LenBcq9xeHLC00Gn7AyYv
43,Well Hello,43,12,2016-06-10,spotify:track:0K1ddNp1ev0zdik1EzuxkT
44,Twistin' Matilda (And the Channel),44,3,2013-12-02,spotify:track:1A4a167Yf7bXEkVOqon1HK
45,Nothing Can Divide Us,45,1,2007-02-06,spotify:track:34sAPj9hCZr4f814I3MWEy
46,Its Only the Beginning,46,2,1991-01-01,spotify:track:1HXaX12pA7jVuwUczy5UOd
47,S.O.S.,47,1,2007-01-01,spotify:track:2gGxroCYEruO4Bco35RnGU
48,Lil Boo Thang,48,1,2023-08-18,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3
49,Piece by Piece,205,5,2015-02-27,spotify:track:2NELtMgQ8HSdrGrYQPLnC3
50,Glamorous,1959,7,2006-09-13,spotify:track:6vVfNqiMSku4FrqsqhurBK
51,Free Your Mind,51,4,1992-03-24,spotify:track:2vG1yrWSMiL6egg6w4e9ma
52,Untouchable (Originally Performed by Taylor Swift) [Vocal Version],52,1,2014-07-21,spotify:track:6ZQIKSFLoonDStQchogVdC
53,From The Sea,53,1,2004-01-01,spotify:track:74Hy0E0huf9VS853otOC0m
54,Dance To This (feat. Ariana Grande),6945,6,2018-08-31,spotify:track:2NjO87HyT80fsgejd3PLYW
55,Into The Dark,55,7,2005-02-22,spotify:track:1ESxXEaYZ3CvkVqBdSHZiS
56,Happenin' All Over Again - Radio,56,5,2006-11-14,spotify:track:1Xhz8EjC4GChCe46aR0MFy
57,You've Never Been This Far Before,57,15,2005-04-21,spotify:track:6UqKslmiLujULn7mpfbpaC
58,Superstylin',58,2,2001-07-11,spotify:track:2yWyFT6bW1Rd9cjVvYi4v8
59,Halfway Gone,59,4,2010-01-01,spotify:track:7rojor07Wzc7w3zXOxex80
60,Too Much (feat. Usher),60,1,2020-10-23,spotify:track:39umHdGKfpnjY4TFtnoQ51
61,Polaroid,61,1,2020-04-24,spotify:track:3g2zKo9K0MymRmkn6fXWcr
62,Walk Right In,62,7,1992-01-01,spotify:track:0iyFZC2XuPdLpfQpUeli4H
63,Two Strong Hearts,31,2,2003-10-20,spotify:track:4rRRVHoBP8v42QdOivhhfj
64,Work from Home (feat. Ty Dolla $ign),63,2,2016-05-27,spotify:track:4tCtwWceOPWzenK2HAIJSb
65,Hidden Agenda - New Mix,64,13,2008-11-24,spotify:track:40rOKDgEB0PoedLUQELRFi
66,Roar,572,1,2013-10-18,spotify:track:6F5c58TMEs1byxUstkzVeM
67,Time After Time,5049,4,1983-01-01,spotify:track:5tzbM8m70V977Ezpfk8IPS
68,Freak On a Leash,67,2,1998-08-18,spotify:track:6W21LNLz9Sw7sUSNWMSHRu
69,Chulu Chululu,68,14,1964-01-01,spotify:track:5YDP1MSGDD5k0pm7j5KjMM
70,Video Killed The Radio Star,6915,2,1980-01-10,spotify:track:6t1FIJlZWTQfIZhsGjaulM
71,Lay Down (Candles In The Rain) - Long Version,70,20,1998-02-18,spotify:track:1mVTTCmWniYZrjHwHRqWyw
72,Poker Face,7146,4,2008-01-01,spotify:track:1QV6tiMFM6fSOKOGLMHYYg
73,Vegas Girl,72,1,2012-07-20,spotify:track:7K5u9x1qd2WyEkTN7ntm1A
74,American Boy (feat. Kanye West),5112,3,2008-03-28,spotify:track:41on8RwRh22IHcChAN2gm8
75,Harder To Breathe,715,1,2002-01-01,spotify:track:4V9JDRqKjN8F2HWdlEDxvI
76,Dead And Gone,3523,16,2008-09-07,spotify:track:7IhsLJMqdxoo7YAZjaSMru
77,If,76,6,1993-05-18,spotify:track:0t414ewhjcIiuPVF3QECz2
78,Truth Hurts,77,13,2019-04-18,spotify:track:2DJpq0JJbGiBuQ3S5TDpPD
79,Be Mine!,4767,6,2007-04-02,spotify:track:4zCWUhwXEgXrUY2C0hBfl2
80,1 Thing,79,3,2008-01-01,spotify:track:6ZyNjT2hYvfV5PuW84dp1E
81,One Way Ticket,80,1,2005-11-28,spotify:track:44x9GdJsYmbaYRBm8ROyfL
82,Two Faces Have I,81,1,2014-01-10,spotify:track:3YKQqwURGKQnxk9TKfq1gE
83,Freedom,5269,5,1984-10-23,spotify:track:0PhU6i6Kei6x0CH3jocvA3
84,Lido Shuffle,83,9,1976-01-01,spotify:track:2NtqZmfRIDkXJ2YvY2Kv1F
85,Slice of Heaven,84,18,2009-10-30,spotify:track:2DLkQzNRBgaAbCX4MscyTC
86,Stone,85,1,2015-12-08,spotify:track:10pSiR20z5pY7a80uysJ3P
87,Tell Him (Duet with Barbra Streisand),4399,6,1997-10-24,spotify:track:1jeWrScZZuhw3b55T1fv4O
88,The Nips Are Getting Bigger,87,1,1979-11-01,spotify:track:0uOKq55dztn2zNxpORp9F2
89,Dance Wiv Me - Radio Edit,88,1,2008-01-01,spotify:track:1XNvUrCop20hAWfROW1CoV
90,Love Shack - Edit; 2019 Remaster,89,12,1989-06-27,spotify:track:0LzeivEHO16a8eBQGlpVkE
91,Country Grammar (Hot Shit),724,4,2000-06-27,spotify:track:5pZrTiyyerSGHUJExDCOxZ
92,Instant Crush (feat. Julian Casablancas),91,5,2013-05-20,spotify:track:2cGxRwrMyEAp8dEbuZaVv6
93,Michelle,92,11,2015-05-04,spotify:track:1ezeinbhS1HhWzA8yQIzA7
94,Things That Make You Go Hmmm,93,13,2015-10-30,spotify:track:56zrJ2upO5VssMnqowOZOH
95,Hush Hush; Hush Hush / I Will Survive - Medley,94,1,2009-01-01,spotify:track:2H9CKpZiLDF223BbwehpDF
96,Second Solution,5021,3,1999-01-15,spotify:track:1kj3ASwCuqDnzehRd3WIz3
97,You're The Best Thing,96,10,1984-01-01,spotify:track:0SZIQOLgjT6awjwInBsSjV
98,C'mon N' Ride It (The Train),97,1,1996-06-18,spotify:track:2QLEN3RVunMas7j0PHjeAT
99,Super Love,98,1,2014-10-14,spotify:track:4AGkYEPy8SPf0JADQNsw2q
100,Love Is In The Air,99,12,2009-09-18,spotify:track:3c4OULLWwgRqBfA2dJtRuY
101,Forever Young,5761,8,2007-01-30,spotify:track:3tFECpGckFpp0HpQje78gi
102,For You (Fifty Shades Freed) (& Rita Ora),101,2,2018-02-09,spotify:track:66xn6tB8s3l8uhj02OGneE
103,Bad Habits,102,15,2009-03-19,spotify:track:070QivFOnOdtVznpnrUMCO
104,I Wanna Do It with You,99,5,2009-09-18,spotify:track:0a75KbBW12Hc8QtrD1gwAJ
105,The Man,103,4,2019-08-23,spotify:track:3RauEVgRgj1IuWdJ9fDs70
106,Maria,104,11,1994-01-01,spotify:track:1ofagnzl7oj7z1MtwGesHX
107,Overkill,105,2,1983-01-01,spotify:track:3iA4foXIFpekwHyma7pRs1
108,Life Goes On,106,1,2017-09-29,spotify:track:6XrWIKoIwqomse4ZmBnjQd
109,Stacy's Mom,107,3,2003-01-01,spotify:track:27L8sESb3KR79asDUBu8nW
110,How Can We Be Lovers,108,5,1989-06-27,spotify:track:0ZUjPkZKjzRi6bgIuJovfY
111,Teenage Crime,109,3,2012-01-01,spotify:track:46LTPfvrxlgNLyIGBup4O2
